# anti- candidates (3532 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

antibradykinin                      -> bradykinin
antibranding                        -> branding
antibrane                           -> brane
antibreakage                        -> breakage
antibreeding                        -> breeding
antibribe                           -> bribe
antibribery                         -> bribery
antibromic                          -> bromic
antibronchospastic                  -> bronchospastic
antibronzing                        -> bronzing
antibrothel                         -> brothel
antibrowning                        -> browning
antibrucellar                       -> brucellar
antibubble                          -> bubble
antibubonic                         -> bubonic
antibudget                          -> budget
antibuffalo                         -> buffalo
antibug                             -> bug
antibuggery                         -> buggery
antibugging                         -> bugging
antibulimic                         -> bulimic
antibullet                          -> bullet
antibullfight                       -> bullfight
antibullfighting                    -> bullfighting
antibullionist                      -> bullionist
antibully                           -> bully
antibullying                        -> bullying
antibumping                         -> bumping
antibunched                         -> bunched
antibunching                        -> bunching
antibundling                        -> bundling
antibureaucracy                     -> bureaucracy
antibureaucrat                      -> bureaucrat
antibureaucratic                    -> bureaucratic
antiburgher                         -> burgher
antiburglar                         -> burglar
antiburglary                        -> burglary
antibusiness                        -> business
antibusing                          -> busing
antibuyout                          -> buyout
anticable                           -> cable
anticachectic                       -> cachectic
anticacochymic                      -> cacochymic
anticaker                           -> caker
anticaking                          -> caking
antical                             -> cal
anticalcific                        -> calcific
anticalcification                   -> calcification
anticalcineurin                     -> calcineurin
anticalciuric                       -> calciuric
anticalculous                       -> calculous
anticalin                           -> calin
anticaliph                          -> caliph
anticaliphate                       -> caliphate
anticalligraphic                    -> calligraphic
anticamel                           -> camel
anticamouflage                      -> camouflage
anticampaign                        -> campaign
anticamping                         -> camping
anticancer                          -> cancer
anticancerogenic                    -> cancerogenic
anticancerous                       -> cancerous
anticandicidal                      -> candicidal
anticandida                         -> candida
anticandidal                        -> candidal
anticannibal                        -> cannibal
anticannibalism                     -> cannibalism
anticannibalistic                   -> cannibalistic
anticanon                           -> canon
anticanonical                       -> canonical
anticapital                         -> capital
anticapitalism                      -> capitalism
anticapitalist                      -> capitalist
anticapitalistic                    -> capitalistic
anticapsid                          -> capsid
anticapsular                        -> capsular
anticaptivity                       -> captivity
anticar                             -> car
anticarbohydrate                    -> carbohydrate
anticarbon                          -> carbon
anticarcinogen                      -> carcinogen
anticarcinogenesis                  -> carcinogenesis
anticarcinogenic                    -> carcinogenic
anticarcinogenicity                 -> carcinogenicity
anticarcinoma                       -> carcinoma
anticardinal                        -> cardinal
anticardiolipin                     -> cardiolipin
anticardiovascular                  -> cardiovascular
anticaricature                      -> caricature
anticaries                          -> caries
anticariogenic                      -> cariogenic
anticariogenicity                   -> cariogenicity
anticarious                         -> carious
anticarminative                     -> carminative
anticarnivorous                     -> carnivorous
anticarrier                         -> carrier
anticartel                          -> cartel
anticasino                          -> casino
anticaspase                         -> caspase
anticaste                           -> caste
anticat                             -> cat
anticatabolic                       -> catabolic
anticatabolite                      -> catabolite
anticataleptic                      -> cataleptic
anticatalyst                        -> catalyst
anticatalytic                       -> catalytic
anticataplectic                     -> cataplectic
anticataract                        -> cataract
anticatatonic                       -> catatonic
anticategory                        -> category
anticathartic                       -> cathartic
anticathectic                       -> cathectic
anticathexis                        -> cathexis
anticathode                         -> cathode
anticatholic                        -> catholic
anticattle                          -> cattle
anticausal                          -> causal
anticausative                       -> causative
anticausativity                     -> causativity
anticavity                          -> cavity
anticelebrity                       -> celebrity
anticelibacy                        -> celibacy
anticellulite                       -> cellulite
anticensor                          -> censor
anticensorship                      -> censorship
anticensus                          -> census
anticenter                          -> center
anticentralization                  -> centralization
anticentrism                        -> centrism
anticentromere                      -> centromere
anticephalalgic                     -> cephalalgic
anticercarial                       -> cercarial
