# re- candidates (2455 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

reconfront                          -> confront
reconfuse                           -> confuse
recongeal                           -> congeal
recongest                           -> congest
recongratulate                      -> congratulate
recongregate                        -> congregate
reconjoin                           -> conjoin
reconjugate                         -> conjugate
reconjure                           -> conjure
reconnect                           -> connect
reconquer                           -> conquer
reconquest                          -> conquest
reconscript                         -> conscript
reconsecrate                        -> consecrate
reconsent                           -> consent
reconserve                          -> conserve
reconsider                          -> consider
reconsign                           -> consign
reconsole                           -> console
reconsolidate                       -> consolidate
reconstitute                        -> constitute
reconstrict                         -> constrict
reconstruct                         -> construct
reconstrue                          -> construe
reconsult                           -> consult
reconsume                           -> consume
recontact                           -> contact
recontaminate                       -> contaminate
recontemplate                       -> contemplate
recontest                           -> contest
recontextualize                     -> contextualize
recontinue                          -> continue
recontour                           -> contour
recontract                          -> contract
recontribute                        -> contribute
recontrive                          -> contrive
recontrol                           -> control
reconvalesce                        -> convalesce
reconvene                           -> convene
reconverge                          -> converge
reconvert                           -> convert
reconvey                            -> convey
reconvict                           -> convict
reconvince                          -> convince
reconvoke                           -> convoke
reconvolve                          -> convolve
recook                              -> cook
recool                              -> cool
recooper                            -> cooper
recopper                            -> copper
recoppice                           -> coppice
recopulate                          -> copulate
recopy                              -> copy
recopyright                         -> copyright
record                              -> cord
recork                              -> cork
recoronate                          -> coronate
recorporate                         -> corporate
recorporealize                      -> corporealize
recorrect                           -> correct
recorrupt                           -> corrupt
recost                              -> cost
recostume                           -> costume
recouch                             -> couch
recount                             -> count
recounteract                        -> counteract
recoup                              -> coup
recouple                            -> couple
recourse                            -> course
recover                             -> cover
recrack                             -> crack
recraft                             -> craft
recramp                             -> cramp
recrank                             -> crank
recrate                             -> crate
recrawl                             -> crawl
recrease                            -> crease
recreate                            -> create
recredential                        -> credential
recredit                            -> credit
recreolize                          -> creolize
recrew                              -> crew
recriminalize                       -> criminalize
recriminate                         -> criminate
recriticize                         -> criticize
recritique                          -> critique
recrop                              -> crop
recross                             -> cross
recrowd                             -> crowd
recrown                             -> crown
recrucify                           -> crucify
recrumple                           -> crumple
recrush                             -> crush
recrystallize                       -> crystallize
recultivate                         -> cultivate
reculturalize                       -> culturalize
reculture                           -> culture
recup                               -> cup
recure                              -> cure
recurl                              -> curl
recurse                             -> curse
recurtain                           -> curtain
recurve                             -> curve
recushion                           -> cushion
recustomize                         -> customize
recut                               -> cut
recycle                             -> cycle
recyclize                           -> cyclize
redaguerreotype                     -> daguerreotype
redam                               -> dam
redamage                            -> damage
redampen                            -> dampen
redarken                            -> darken
redarn                              -> darn
redate                              -> date
redaub                              -> daub
redazzle                            -> dazzle
redeal                              -> deal
redebate                            -> debate
redebit                             -> debit
redebug                             -> debug
redebut                             -> debut
redeceive                           -> deceive
redecide                            -> decide
redecimate                          -> decimate
redecipher                          -> decipher
redeck                              -> deck
redeclare                           -> declare
redecline                           -> decline
redecode                            -> decode
redeconvolve                        -> deconvolve
redecorate                          -> decorate
redecrease                          -> decrease
redecree                            -> decree
redecussate                         -> decussate
rededicate                          -> dedicate
rededuct                            -> deduct
redeed                              -> deed
redeem                              -> deem
redefeat                            -> defeat
redefect                            -> defect
redefend                            -> defend
redefer                             -> defer
redefine                            -> define
redeflect                           -> deflect
redefy                              -> defy
redeify                             -> deify
redelay                             -> delay
redelegate                          -> delegate
redelete                            -> delete
redeliberate                        -> deliberate
redelineate                         -> delineate
redeliver                           -> deliver
redemand                            -> demand
redemarcate                         -> demarcate
redemise                            -> demise
redemocratize                       -> democratize
redemolish                          -> demolish
redemonize                          -> demonize
redemonstrate                       -> demonstrate
redenominate                        -> denominate
redenote                            -> denote
redenounce                          -> denounce
redeny                              -> deny
redepict                            -> depict
redeploy                            -> deploy
redeport                            -> deport
redeposit                           -> deposit
redeprive                           -> deprive
redeputize                          -> deputize
rederivatize                        -> derivatize
rederive                            -> derive
redescend                           -> descend
redescribe                          -> describe
redesign                            -> design
redesignate                         -> designate
redestroy                           -> destroy
redetach                            -> detach
redetail                            -> detail
redetain                            -> detain
redetect                            -> detect
redetermine                         -> determine
redevelop                           -> develop
redevise                            -> devise
redevolve                           -> devolve
redevote                            -> devote
rediagnose                          -> diagnose
rediagonalize                       -> diagonalize
rediagram                           -> diagram
redial                              -> dial
rediaper                            -> diaper
redictate                           -> dictate
redie                               -> die
redifferentiate                     -> differentiate
rediffuse                           -> diffuse
redig                               -> dig
redigest                            -> digest
redigitize                          -> digitize
redigress                           -> digress
redilate                            -> dilate
redimension                         -> dimension
redimerize                          -> dimerize
rediminish                          -> diminish
redip                               -> dip
rediploidize                        -> diploidize
redirect                            -> direct
redisable                           -> disable
redisappear                         -> disappear
redisburse                          -> disburse
redischarge                         -> discharge
rediscipline                        -> discipline
redisclose                          -> disclose
rediscount                          -> discount
rediscover                          -> discover
rediscretize                        -> discretize
rediscuss                           -> discuss
redisguise                          -> disguise
redisinfect                         -> disinfect
redislocate                         -> dislocate
redismiss                           -> dismiss
redispatch                          -> dispatch
redispel                            -> dispel
redispense                          -> dispense
redisperse                          -> disperse
redisplace                          -> displace
redisplay                           -> display
redispose                           -> dispose
redispute                           -> dispute
redissect                           -> dissect
