# un- candidates (10095 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

unannounced                         -> announced
unannoyable                         -> annoyable
unannoyed                           -> annoyed
unannoying                          -> annoying
unannualized                        -> annualized
unannullable                        -> annullable
unannulled                          -> annulled
unanodized                          -> anodized
unanointed                          -> anointed
unanonymize                         -> anonymize
unanonymized                        -> anonymized
unanonymous                         -> anonymous
unanswerable                        -> answerable
unanswered                          -> answered
unantagonistic                      -> antagonistic
unantagonizable                     -> antagonizable
unantagonized                       -> antagonized
unantagonizing                      -> antagonizing
unanthropomorphic                   -> anthropomorphic
unanticipated                       -> anticipated
unanticipative                      -> anticipative
unanticoagulated                    -> anticoagulated
unantiquated                        -> antiquated
unantique                           -> antique
unanxious                           -> anxious
unapathetic                         -> apathetic
unapelike                           -> apelike
unapertured                         -> apertured
unapocopated                        -> apocopated
unapocryphal                        -> apocryphal
unapologetic                        -> apologetic
unapoptotic                         -> apoptotic
unapostolic                         -> apostolic
unapostolical                       -> apostolical
unappalled                          -> appalled
unappalling                         -> appalling
unapparel                           -> apparel
unapparent                          -> apparent
unappealable                        -> appealable
unappealing                         -> appealing
unappeasable                        -> appeasable
unappendaged                        -> appendaged
unappetizing                        -> appetizing
unapplausive                        -> applausive
unappliable                         -> appliable
unapplicable                        -> applicable
unapplied                           -> applied
unapply                             -> apply
unappoint                           -> appoint
unappointable                       -> appointable
unappointed                         -> appointed
unapportionable                     -> apportionable
unapportioned                       -> apportioned
unapposite                          -> apposite
unappreciable                       -> appreciable
unappreciated                       -> appreciated
unappreciating                      -> appreciating
unappreciative                      -> appreciative
unapprehendable                     -> apprehendable
unapprehended                       -> apprehended
unapprehensive                      -> apprehensive
unapprenticed                       -> apprenticed
unapprised                          -> apprised
unapproachable                      -> approachable
unapproaching                       -> approaching
unappropriable                      -> appropriable
unappropriate                       -> appropriate
unappropriated                      -> appropriated
unappropriative                     -> appropriative
unapprovable                        -> approvable
unapprove                           -> approve
unapproved                          -> approved
unapproving                         -> approving
unapproximated                      -> approximated
unaproned                           -> aproned
unapropos                           -> apropos
unapt                               -> apt
unarbitrary                         -> arbitrary
unarbitrated                        -> arbitrated
unarc                               -> arc
unarchaic                           -> archaic
unarched                            -> arched
unarchitectural                     -> architectural
unarchivable                        -> archivable
unarchive                           -> archive
unarchived                          -> archived
unarduous                           -> arduous
unareolated                         -> areolated
unarguable                          -> arguable
unargumentative                     -> argumentative
unaristocratic                      -> aristocratic
unarithmetical                      -> arithmetical
unarm                               -> arm
unarmed                             -> armed
unarmored                           -> armored
unarmorial                          -> armorial
unarmoured                          -> armoured
unaromatic                          -> aromatic
unarousable                         -> arousable
unaroused                           -> aroused
unarousing                          -> arousing
unarraignable                       -> arraignable
unarrangeable                       -> arrangeable
unarranged                          -> arranged
unarray                             -> array
unarrest                            -> arrest
unarrestable                        -> arrestable
unarrested                          -> arrested
unarresting                         -> arresting
unarrogant                          -> arrogant
unarrowed                           -> arrowed
unartful                            -> artful
unarticled                          -> articled
unarticulable                       -> articulable
unarticulate                        -> articulate
unarticulated                       -> articulated
unartificial                        -> artificial
unartistic                          -> artistic
unartistical                        -> artistical
unartistlike                        -> artistlike
unascendable                        -> ascendable
unascendible                        -> ascendible
unascertainable                     -> ascertainable
unascetic                           -> ascetic
unascribable                        -> ascribable
unashamed                           -> ashamed
unask                               -> ask
unaskable                           -> askable
unasked                             -> asked
unasking                            -> asking
unasleep                            -> asleep
unaspected                          -> aspected
unaspersed                          -> aspersed
unasphalted                         -> asphalted
unaspirate                          -> aspirate
unaspirated                         -> aspirated
unaspirational                      -> aspirational
unaspiring                          -> aspiring
unass                               -> ass
unassailable                        -> assailable
unassaultable                       -> assaultable
unassaultive                        -> assaultive
unassemble                          -> assemble
unassented                          -> assented
unassert                            -> assert
unassertable                        -> assertable
unasserted                          -> asserted
unassertive                         -> assertive
unassessable                        -> assessable
unassiduous                         -> assiduous
unassign                            -> assign
unassignable                        -> assignable
unassigned                          -> assigned
unassimilable                       -> assimilable
unassimilatable                     -> assimilatable
unassimilating                      -> assimilating
unassimilative                      -> assimilative
unassistable                        -> assistable
unassisting                         -> assisting
unassociable                        -> associable
unassociate                         -> associate
unassociated                        -> associated
unassociative                       -> associative
unassorted                          -> assorted
unassuageable                       -> assuageable
unassumable                         -> assumable
unassumed                           -> assumed
unassuming                          -> assuming
unassumptive                        -> assumptive
unassured                           -> assured
unassuring                          -> assuring
unasterisked                        -> asterisked
unastonishable                      -> astonishable
unastonished                        -> astonished
unastonishing                       -> astonishing
unastounded                         -> astounded
unastounding                        -> astounding
unastute                            -> astute
unatheist                           -> atheist
unatheistic                         -> atheistic
unathirst                           -> athirst
unathletic                          -> athletic
unatmospheric                       -> atmospheric
unatomizable                        -> atomizable
unatomized                          -> atomized
unatonable                          -> atonable
unatrophied                         -> atrophied
unattach                            -> attach
unattachable                        -> attachable
unattached                          -> attached
unattackable                        -> attackable
unattainable                        -> attainable
unattained                          -> attained
unattaint                           -> attaint
unattainted                         -> attainted
unattempered                        -> attempered
unattemptable                       -> attemptable
unattempted                         -> attempted
unattendant                         -> attendant
unattended                          -> attended
unattending                         -> attending
unattentive                         -> attentive
unattenuated                        -> attenuated
unattestable                        -> attestable
unattested                          -> attested
unattire                            -> attire
unattired                           -> attired
unattractable                       -> attractable
unattracted                         -> attracted
unattractive                        -> attractive
unattributable                      -> attributable
unattributed                        -> attributed
unattributive                       -> attributive
unattuned                           -> attuned
unaudacious                         -> audacious
unaudible                           -> audible
unauditable                         -> auditable
