# in- candidates (857 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

inedible                            -> edible
ineducable                          -> educable
ineffable                           -> effable
ineffaceable                        -> effaceable
ineffectible                        -> effectible
ineffective                         -> effective
ineffectual                         -> effectual
ineffervescent                      -> effervescent
ineffervescible                     -> effervescible
inefficacious                       -> efficacious
inefficient                         -> efficient
inegalitarian                       -> egalitarian
inelaborate                         -> elaborate
inelastic                           -> elastic
inelative                           -> elative
inelegant                           -> elegant
inelidable                          -> elidable
ineligible                          -> eligible
ineliminable                        -> eliminable
ineloquent                          -> eloquent
ineludible                          -> eludible
inembryonate                        -> embryonate
inemulous                           -> emulous
inenumerable                        -> enumerable
inequable                           -> equable
inequal                             -> equal
inequant                            -> equant
inequiangular                       -> equiangular
inequiaxial                         -> equiaxial
inequidimensional                   -> equidimensional
inequidistant                       -> equidistant
inequigranular                      -> equigranular
inequilateral                       -> equilateral
inequilobate                        -> equilobate
inequilobed                         -> equilobed
inequipotent                        -> equipotent
inequipotential                     -> equipotential
inequitable                         -> equitable
inequivalent                        -> equivalent
inequivalve                         -> equivalve
inequivalved                        -> equivalved
inequivalvular                      -> equivalvular
ineradicable                        -> eradicable
inerasable                          -> erasable
inerect                             -> erect
inerrable                           -> errable
inerrant                            -> errant
inerratic                           -> erratic
inerudite                           -> erudite
inescapable                         -> escapable
inesculent                          -> esculent
inescutcheoned                      -> escutcheoned
inessential                         -> essential
inessive                            -> essive
inestimable                         -> estimable
inevaluable                         -> evaluable
inevaporable                        -> evaporable
inevasible                          -> evasible
inevasive                           -> evasive
inevident                           -> evident
inexact                             -> exact
inexcitable                         -> excitable
inexcludable                        -> excludable
inexcogitable                       -> excogitable
inexcusable                         -> excusable
inexecrable                         -> execrable
inexecutable                        -> executable
inexhalable                         -> exhalable
inexhausted                         -> exhausted
inexhaustible                       -> exhaustible
inexhaustive                        -> exhaustive
inexigent                           -> exigent
inexistent                          -> existent
inexorable                          -> exorable
inexorcisable                       -> exorcisable
inexpansible                        -> expansible
inexpectable                        -> expectable
inexpectant                         -> expectant
inexpedient                         -> expedient
inexpensive                         -> expensive
inexperienced                       -> experienced
inexpert                            -> expert
inexpiable                          -> expiable
inexplainable                       -> explainable
inexplicable                        -> explicable
inexplicit                          -> explicit
inexplorable                        -> explorable
inexplosive                         -> explosive
inexpressible                       -> expressible
inexpressive                        -> expressive
inexpungable                        -> expungable
inexpungible                        -> expungible
inextant                            -> extant
inextended                          -> extended
inextendible                        -> extendible
inextensible                        -> extensible
inextensile                         -> extensile
inextensional                       -> extensional
inextensive                         -> extensive
inexterminable                      -> exterminable
inextinct                           -> extinct
inextinguishable                    -> extinguishable
inextirpable                        -> extirpable
inextricable                        -> extricable
infallen                            -> fallen
infamous                            -> famous
infatigable                         -> fatigable
infaunal                            -> faunal
infeasible                          -> feasible
infecund                            -> fecund
infecundable                        -> fecundable
infelicific                         -> felicific
infelicitous                        -> felicitous
infelonious                         -> felonious
infelt                              -> felt
infertile                           -> fertile
infestive                           -> festive
infidelitous                        -> fidelitous
infinitary                          -> finitary
infinite                            -> finite
infinite-dimensional                -> finite-dimensional
infinitesimal                       -> finitesimal
infinitist                          -> finitist
infinitistic                        -> finitistic
infinito                            -> finito
infirm                              -> firm
infixive                            -> fixive
inflamed                            -> flamed
inflaming                           -> flaming
inflammable                         -> flammable
inflative                           -> flative
inflectional                        -> flectional
inflexed                            -> flexed
inflexionless                       -> flexionless
inflexive                           -> flexive
inflorescent                        -> florescent
inflowing                           -> flowing
influxive                           -> fluxive
infoliate                           -> foliate
informal                            -> formal
informalistic                       -> formalistic
informational                       -> formational
informative                         -> formative
informed                            -> formed
informidable                        -> formidable
informous                           -> formous
informulable                        -> formulable
infortunate                         -> fortunate
infractional                        -> fractional
infragrant                          -> fragrant
infrequent                          -> frequent
infringed                           -> fringed
infringing                          -> fringing
infructiferous                      -> fructiferous
infructuous                         -> fructuous
infrugal                            -> frugal
infrugiferous                       -> frugiferous
infrustrable                        -> frustrable
infumed                             -> fumed
infungible                          -> fungible
infusable                           -> fusable
infusile                            -> fusile
infusional                          -> fusional
ingeldable                          -> geldable
ingeminate                          -> geminate
ingenerable                         -> generable
ingenerate                          -> generate
ingenuine                           -> genuine
ingirt                              -> girt
inglobate                           -> globate
ingoing                             -> going
ingracious                          -> gracious
ingrained                           -> grained
ingrate                             -> grate
ingrateful                          -> grateful
inground                            -> ground
ingrown                             -> grown
inguilty                            -> guilty
ingustable                          -> gustable
inhabile                            -> habile
inhabitable                         -> habitable
inhabitative                        -> habitative
inhabited                           -> habited
inharmonic                          -> harmonic
inharmonious                        -> harmonious
inhereditary                        -> hereditary
inheritable                         -> heritable
inhomogeneous                       -> homogeneous
inhomogenous                        -> homogenous
inhospitable                        -> hospitable
inhuman                             -> human
inimaginable                        -> imaginable
inirradiated                        -> irradiated
inirritable                         -> irritable
inirritative                        -> irritative
injellied                           -> jellied
injudicable                         -> judicable
injudicial                          -> judicial
injudicious                         -> judicious
injunctional                        -> junctional
injunctionless                      -> junctionless
injurant                            -> jurant
injust                              -> just
inkneed                             -> kneed
inlaid                              -> laid
inlandish                           -> landish
inlighted                           -> lighted
inlying                             -> lying
innative                            -> native
innecessary                         -> necessary
innegligible                        -> negligible
innocent                            -> nocent
innominable                         -> nominable
innovative                          -> novative
innoxious                           -> noxious
innubilous                          -> nubilous
innumberable                        -> numberable
innumerable                         -> numerable
innumeral                           -> numeral
innumerate                          -> numerate
innutritious                        -> nutritious
innutritive                         -> nutritive
inobedient                          -> obedient
