# non- candidates (9604 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

nonairline                          -> airline
nonairport                          -> airport
nonairtight                         -> airtight
nonairworthy                        -> airworthy
nonairy                             -> airy
nonakin                             -> akin
nonalarm                            -> alarm
nonalarmed                          -> alarmed
nonalarming                         -> alarming
nonalarmist                         -> alarmist
nonalbino                           -> albino
nonalbum                            -> album
nonalbumin                          -> albumin
nonalbuminous                       -> albuminous
nonalbuminuric                      -> albuminuric
nonalchemical                       -> alchemical
nonalcohol                          -> alcohol
nonalcoholic                        -> alcoholic
nonaldermanic                       -> aldermanic
nonaleatory                         -> aleatory
nonalert                            -> alert
nonalertable                        -> alertable
nonalethic                          -> alethic
nonalgal                            -> algal
nonalgebraic                        -> algebraic
nonalgorithmic                      -> algorithmic
nonaliased                          -> aliased
nonalibi                            -> alibi
nonalien                            -> alien
nonalienable                        -> alienable
nonalienated                        -> alienated
nonalienating                       -> alienating
nonalienation                       -> alienation
nonalignable                        -> alignable
nonaligned                          -> aligned
nonaligning                         -> aligning
nonalignment                        -> alignment
nonalike                            -> alike
nonalimentary                       -> alimentary
nonalimony                          -> alimony
nonalingual                         -> alingual
nonaliphatic                        -> aliphatic
nonalive                            -> alive
nonalkalic                          -> alkalic
nonalkaline                         -> alkaline
nonalkaloid                         -> alkaloid
nonalkaloidal                       -> alkaloidal
nonalleged                          -> alleged
nonallegiant                        -> allegiant
nonallegorical                      -> allegorical
nonallele                           -> allele
nonallelic                          -> allelic
nonallergen                         -> allergen
nonallergenic                       -> allergenic
nonallergic                         -> allergic
nonallergy                          -> allergy
nonallied                           -> allied
nonalliterative                     -> alliterative
nonallocated                        -> allocated
nonallodial                         -> allodial
nonallodynic                        -> allodynic
nonallometric                       -> allometric
nonallopathic                       -> allopathic
nonalloreactive                     -> alloreactive
nonallosteric                       -> allosteric
nonallotment                        -> allotment
nonallowable                        -> allowable
nonallowed                          -> allowed
nonalloy                            -> alloy
nonalloyed                          -> alloyed
nonalluring                         -> alluring
nonallusive                         -> allusive
nonalluvial                         -> alluvial
nonally                             -> ally
nonalone                            -> alone
nonaloof                            -> aloof
nonalopecic                         -> alopecic
nonalphabetic                       -> alphabetic
nonalphabetical                     -> alphabetical
nonalphabetized                     -> alphabetized
nonalphanumeric                     -> alphanumeric
nonalphanumerical                   -> alphanumerical
nonalpine                           -> alpine
nonalterable                        -> alterable
nonalternate                        -> alternate
nonalternating                      -> alternating
nonalternation                      -> alternation
nonalternative                      -> alternative
nonaltitudinal                      -> altitudinal
nonaltruism                         -> altruism
nonaltruist                         -> altruist
nonaltruistic                       -> altruistic
nonaluminous                        -> aluminous
nonaluminum                         -> aluminum
nonalveolar                         -> alveolar
nonamalgamable                      -> amalgamable
nonambient                          -> ambient
nonambiguity                        -> ambiguity
nonambiguous                        -> ambiguous
nonambition                         -> ambition
nonambitious                        -> ambitious
nonambivalent                       -> ambivalent
nonambulance                        -> ambulance
nonambulant                         -> ambulant
nonambulatory                       -> ambulatory
nonamenable                         -> amenable
nonamendable                        -> amendable
nonamended                          -> amended
nonamidated                         -> amidated
nonamino                            -> amino
nonaminoacylated                    -> aminoacylated
nonammoniacal                       -> ammoniacal
nonamnesic                          -> amnesic
nonamnestic                         -> amnestic
nonamniote                          -> amniote
nonamoeboid                         -> amoeboid
nonamorous                          -> amorous
nonamortizable                      -> amortizable
nonamortized                        -> amortized
nonamphetamine                      -> amphetamine
nonamphibian                        -> amphibian
nonamphibious                       -> amphibious
nonamphiphilic                      -> amphiphilic
nonamphoteric                       -> amphoteric
nonampliative                       -> ampliative
nonamplification                    -> amplification
nonamplified                        -> amplified
nonampullar                         -> ampullar
nonamputated                        -> amputated
nonamputation                       -> amputation
nonamputee                          -> amputee
nonamyloid                          -> amyloid
nonamyloidogenic                    -> amyloidogenic
nonamylolytic                       -> amylolytic
nonanabolic                         -> anabolic
nonanadromous                       -> anadromous
nonanal                             -> anal
nonanalgesic                        -> analgesic
nonanalog                           -> analog
nonanalogy                          -> analogy
nonanalyst                          -> analyst
nonanalytic                         -> analytic
nonanalytical                       -> analytical
nonanalyticity                      -> analyticity
nonanalyzable                       -> analyzable
nonanalyzed                         -> analyzed
nonanaphoric                        -> anaphoric
nonanaphylactic                     -> anaphylactic
nonanaplastic                       -> anaplastic
nonanarchist                        -> anarchist
nonanastomotic                      -> anastomotic
nonanatomic                         -> anatomic
nonanatomical                       -> anatomical
nonancestral                        -> ancestral
nonancient                          -> ancient
nonancillary                        -> ancillary
nonandic                            -> andic
nonandrogenic                       -> androgenic
nonandrogynous                      -> androgynous
nonandrophilic                      -> androphilic
nonanecdotal                        -> anecdotal
nonanemic                           -> anemic
nonanergic                          -> anergic
nonanesthetic                       -> anesthetic
nonanesthetized                     -> anesthetized
nonaneuploid                        -> aneuploid
