# dis- candidates (771 total)
# Format: candidate -> root
# Mark FALSE POSITIVES with FP, KEEP with ok, BORDERLINE with ?

disinflate                          -> inflate
disinflationary                     -> inflationary
disinform                           -> inform
disinformational                    -> informational
disinformative                      -> informative
disingenuine                        -> ingenuine
disingenuous                        -> ingenuous
disinhabited                        -> inhabited
disinherit                          -> inherit
disinheritable                      -> inheritable
disinhibit                          -> inhibit
disinhibiting                       -> inhibiting
disinhibitory                       -> inhibitory
disinhume                           -> inhume
disinsert                           -> insert
disinserted                         -> inserted
disinsure                           -> insure
disintegrable                       -> integrable
disintegrate                        -> integrate
disintegrated                       -> integrated
disintegrating                      -> integrating
disintegrational                    -> integrational
disintegrative                      -> integrative
disintegratory                      -> integratory
disintegrous                        -> integrous
disintensify                        -> intensify
disinterest                         -> interest
disinterested                       -> interested
disinteresting                      -> interesting
disintermediary                     -> intermediary
disintermediate                     -> intermediate
disintoxicate                       -> intoxicate
disintricate                        -> intricate
disinure                            -> inure
disinvent                           -> invent
disinvest                           -> invest
disinvigorate                       -> invigorate
disinvite                           -> invite
disinviting                         -> inviting
disinvolve                          -> involve
disjoin                             -> join
disjoinable                         -> joinable
disjoint                            -> joint
disjointed                          -> jointed
disjugal                            -> jugal
disjunctional                       -> junctional
disleaf                             -> leaf
disleal                             -> leal
dislexify                           -> lexify
dislikable                          -> likable
dislike                             -> like
dislikeful                          -> likeful
disliken                            -> liken
dislimb                             -> limb
dislimn                             -> limn
dislimned                           -> limned
dislink                             -> link
disload                             -> load
dislocatable                        -> locatable
dislocate                           -> locate
dislocational                       -> locational
dislodge                            -> lodge
dislodgeable                        -> lodgeable
disloyal                            -> loyal
dismail                             -> mail
disman                              -> man
dismantle                           -> mantle
dismarch                            -> march
dismarry                            -> marry
dismask                             -> mask
dismast                             -> mast
dismay                              -> may
dismembered                         -> membered
dismiss                             -> miss
dismissable                         -> missable
dismissing                          -> missing
dismissive                          -> missive
dismoded                            -> moded
dismortgage                         -> mortgage
dismount                            -> mount
dismountable                        -> mountable
dismounted                          -> mounted
dismutate                           -> mutate
dismutative                         -> mutative
disnaturalize                       -> naturalize
disnature                           -> nature
disnatured                          -> natured
disnest                             -> nest
disnominate                         -> nominate
disobedient                         -> obedient
disobey                             -> obey
disobligatory                       -> obligatory
disobliging                         -> obliging
disobstruct                         -> obstruct
disocclude                          -> occlude
disodic                             -> odic
disomic                             -> omic
disoperative                        -> operative
disorb                              -> orb
disordain                           -> ordain
disorderable                        -> orderable
disordered                          -> ordered
disorderly                          -> orderly
disordinal                          -> ordinal
disordinate                         -> ordinate
disorganic                          -> organic
disorganise                         -> organise
disorganize                         -> organize
disorganized                        -> organized
disorientative                      -> orientative
disown                              -> own
disownable                          -> ownable
disoxidate                          -> oxidate
disoxygenate                        -> oxygenate
dispace                             -> pace
dispair                             -> pair
disparadise                         -> paradise
disparent                           -> parent
disparented                         -> parented
dispark                             -> park
dispassionate                       -> passionate
dispassioned                        -> passioned
dispatch                            -> patch
dispatchable                        -> patchable
dispauper                           -> pauper
dispauperize                        -> pauperize
dispend                             -> pend
dispensative                        -> pensative
dispeople                           -> people
disperish                           -> perish
dispersonalize                      -> personalize
dispersonate                        -> personate
dispersonify                        -> personify
dispetal                            -> petal
disphotic                           -> photic
dispiteous                          -> piteous
displace                            -> place
displaceable                        -> placeable
displant                            -> plant
display                             -> play
displayable                         -> playable
displeasant                         -> pleasant
displease                           -> please
displeased                          -> pleased
displeasing                         -> pleasing
displeasurable                      -> pleasurable
displeasure                         -> pleasure
displenish                          -> plenish
displosive                          -> plosive
displume                            -> plume
dispope                             -> pope
disporous                           -> porous
disport                             -> port
disposable                          -> posable
disposed                            -> posed
disposing                           -> posing
disposit                            -> posit
disposition                         -> position
dispositional                       -> positional
dispositioned                       -> positioned
dispositive                         -> positive
dispossess                          -> possess
dispossessed                        -> possessed
dispossessive                       -> possessive
dispost                             -> post
dispraise                           -> praise
disprefer                           -> prefer
disprejudice                        -> prejudice
disprepare                          -> prepare
disprison                           -> prison
disprivilege                        -> privilege
disprize                            -> prize
disprized                           -> prized
disprobative                        -> probative
disprofess                          -> profess
disprofit                           -> profit
disprofitable                       -> profitable
disproperty                         -> property
disproportion                       -> proportion
disproportionable                   -> proportionable
disproportional                     -> proportional
disproportionate                    -> proportionate
disproportioned                     -> proportioned
disprovable                         -> provable
disprove                            -> prove
disproven                           -> proven
disprovide                          -> provide
dispunge                            -> punge
dispunishable                       -> punishable
dispurpose                          -> purpose
dispurvey                           -> purvey
disputative                         -> putative
disqualifiable                      -> qualifiable
disqualify                          -> qualify
disquiet                            -> quiet
disquieten                          -> quieten
disquietful                         -> quietful
disquietive                         -> quietive
disquotable                         -> quotable
disquotational                      -> quotational
disquote                            -> quote
disrange                            -> range
disrank                             -> rank
disrate                             -> rate
disrealize                          -> realize
disrecommend                        -> recommend
disreef                             -> reef
disregard                           -> regard
disregardable                       -> regardable
disregardant                        -> regardant
disregarded                         -> regarded
disregardful                        -> regardful
disrelated                          -> related
disrelish                           -> relish
disremember                         -> remember
disrepair                           -> repair
disreputable                        -> reputable
disrepute                           -> repute
disrespect                          -> respect
disrespectable                      -> respectable
disrespectful                       -> respectful
disrespective                       -> respective
disreverence                        -> reverence
disrobe                             -> robe
disroof                             -> roof
disroot                             -> root
disrotatory                         -> rotatory
disruly                             -> ruly
disruptive                          -> ruptive
dissable                            -> sable
dissatisfactory                     -> satisfactory
dissatisfied                        -> satisfied
dissatisfy                          -> satisfy
dissave                             -> save
dissceptre                          -> sceptre
disseat                             -> seat
dissectional                        -> sectional
dissective                          -> sective
disseize                            -> seize
dissemble                           -> semble
disseminate                         -> seminate
disseminative                       -> seminative
dissensual                          -> sensual
dissentient                         -> sentient
disserve                            -> serve
disservice                          -> service
disserviceable                      -> serviceable
dissettle                           -> settle
dissever                            -> sever
dissheathe                          -> sheathe
disship                             -> ship
disshiver                           -> shiver
dissimilar                          -> similar
dissimilative                       -> similative
dissimulate                         -> simulate
dissimulative                       -> simulative
dissite                             -> site
dissociable                         -> sociable
dissocial                           -> social
dissocialize                        -> socialize
dissociate                          -> sociate
dissociative                        -> sociative
dissociogenic                       -> sociogenic
dissoluble                          -> soluble
dissolute                           -> solute
dissolutional                       -> solutional
dissolutive                         -> solutive
